city,f_pop
Agra,610632
Ahmedabad,2123591
Allahabad,466107
Amritsar,465173
Asansol,502532
Aurangabad,423246
Bengaluru,2712885
Bhopal,690025
Chandigarh,358393
Chennai,3204718
Coimbatore,712763
Delhi,5808099
Dhanbad,486177
Durg-Bhilainagar,113202
Faridabad,474869
Ghaziabad,447230
Gwalior,400491
Hyderabad,1848580
India,496514346
Indore,720245
Jabalpur,517962
Jaipur,1084810
Jamshedpur,522884
Jodhpur,401620
Kannur,261099
Kanpur,1250413
Kochi,685632
Kolkata,6141559
Kollam,193167
Kota,330056
Kozhikode,451084
Lucknow,1056043
Ludhiana,605325
Madurai,594564
Malappuram,86700
Meerut,540235
Mumbai,7412597
Nagpur,1027491
Nasik,536238
Patna,775005
Pune,17780015
Raipur,335677
Rajkot,477117
Ranchi,404033
Srinagar,450698
Surat,1214458
Thiruvananthapuram,452228
Thrissur,169679
Tiruchirappalli,423033
Vadodara,708794
Varanasi,560918
Vasai-Virar,135890
Vijayawada,512211
Vishakhapatnam,657953